epoch,total,render,bcs,crs,temp,clip,lr,time_s
1,0.156715,0.144774,0.105073,0.000000,0.002868,0.000000,1.00e-03,1817.7
2,0.129434,0.128222,0.006676,0.000000,0.001089,0.000000,9.99e-04,1126.7
3,0.127324,0.126247,0.005083,0.000000,0.001138,0.000000,9.96e-04,1116.7
4,0.126172,0.125003,0.005712,0.000000,0.001196,0.000000,9.91e-04,1109.7
5,0.126319,0.125148,0.005381,0.000000,0.001267,0.000000,9.84e-04,1127.6
6,0.125528,0.124424,0.004540,0.000000,0.001298,0.000000,9.76e-04,1139.3
7,0.125787,0.124516,0.005664,0.000000,0.001410,0.000000,9.65e-04,1188.2
8,0.124842,0.123722,0.004188,0.000000,0.001401,0.000000,9.53e-04,1583.6
9,0.124795,0.123708,0.003844,0.000000,0.001405,0.000000,9.39e-04,1127.5
10,0.123974,0.122865,0.004128,0.000000,0.001393,0.000000,9.23e-04,1120.0
11,0.123559,0.122494,0.003684,0.000000,0.001395,0.000000,9.05e-04,1113.4
12,0.123565,0.122499,0.003734,0.000000,0.001385,0.000000,8.86e-04,1118.2
13,0.123356,0.122304,0.003493,0.000000,0.001404,0.000000,8.66e-04,1147.5
14,0.123212,0.122164,0.003383,0.000000,0.001421,0.000000,8.44e-04,1145.4
15,0.123052,0.122022,0.003229,0.000000,0.001414,0.000000,8.21e-04,1154.3
16,0.122828,0.121803,0.003093,0.000000,0.001431,0.000000,7.96e-04,1234.0
17,0.122624,0.121594,0.003085,0.000000,0.001444,0.000000,7.70e-04,1211.9
18,0.122828,0.121795,0.003059,0.000000,0.001453,0.000000,7.43e-04,1212.0
19,0.122395,0.121387,0.002775,0.000000,0.001461,0.000000,7.16e-04,1210.1
20,0.121912,0.120934,0.002741,0.000000,0.001407,0.000000,6.87e-04,1165.5
21,0.121785,0.120837,0.002659,0.000000,0.001364,0.000000,6.58e-04,1361.3
22,0.121569,0.120645,0.002536,0.000000,0.001340,0.000000,6.28e-04,1132.1
23,0.121197,0.120289,0.002402,0.000000,0.001335,0.000000,5.98e-04,1157.1
24,0.121477,0.120579,0.002340,0.000000,0.001327,0.000000,5.67e-04,1235.9
25,0.121135,0.120269,0.002103,0.000000,0.001312,0.000000,5.36e-04,1336.9
26,0.120935,0.120100,0.001862,0.000000,0.001297,0.000000,5.05e-04,1258.4
27,0.121205,0.120336,0.002168,0.000000,0.001305,0.000000,4.74e-04,1394.6
28,0.120980,0.120132,0.001956,0.000000,0.001303,0.000000,4.43e-04,1165.8
29,0.120811,0.119985,0.001814,0.000000,0.001289,0.000000,4.12e-04,1148.4
30,0.120856,0.120004,0.001961,0.000000,0.001312,0.000000,3.82e-04,1184.4
31,0.120760,0.119938,0.001733,0.000000,0.001299,0.000000,3.52e-04,1153.5
32,0.120642,0.119834,0.001563,0.000000,0.001304,0.000000,3.23e-04,1164.0
33,0.120514,0.119715,0.001483,0.000000,0.001302,0.000000,2.94e-04,1164.0
34,0.120413,0.119628,0.001345,0.000000,0.001302,0.000000,2.67e-04,1160.2
35,0.120416,0.119627,0.001376,0.000000,0.001302,0.000000,2.40e-04,1157.6
36,0.120340,0.119577,0.001138,0.000000,0.001298,0.000000,2.14e-04,1153.4
37,0.120270,0.119513,0.001066,0.000000,0.001301,0.000000,1.89e-04,1146.4
38,0.120187,0.119440,0.000953,0.000000,0.001305,0.000000,1.66e-04,1156.3
39,0.120153,0.119412,0.000926,0.000000,0.001297,0.000000,1.44e-04,1153.3
40,0.120049,0.119314,0.000828,0.000000,0.001306,0.000000,1.24e-04,1182.7
41,0.120044,0.119320,0.000745,0.000000,0.001298,0.000000,1.05e-04,1155.1
42,0.119981,0.119264,0.000679,0.000000,0.001299,0.000000,8.71e-05,1156.9
43,0.119914,0.119214,0.000513,0.000000,0.001298,0.000000,7.12e-05,1171.1
44,0.119903,0.119203,0.000513,0.000000,0.001299,0.000000,5.71e-05,1167.4
45,0.119847,0.119160,0.000394,0.000000,0.001297,0.000000,4.48e-05,1202.9
46,0.119808,0.119124,0.000374,0.000000,0.001295,0.000000,3.42e-05,1210.9
47,0.119785,0.119113,0.000235,0.000000,0.001297,0.000000,2.56e-05,1170.6
48,0.119760,0.119092,0.000201,0.000000,0.001295,0.000000,1.88e-05,1183.6
49,0.119740,0.119076,0.000174,0.000000,0.001294,0.000000,1.39e-05,1163.0
50,0.119731,0.119071,0.000138,0.000000,0.001292,0.000000,1.10e-05,1165.6
