epoch,total,render,bcs,crs,temp,clip,lr,time_s
81,0.123755,0.123010,0.000922,0.000000,0.001305,0.000000,1.00e-04,1379.1
82,0.123747,0.123018,0.000805,0.000000,0.001296,0.000000,9.94e-05,1121.0
83,0.123700,0.122978,0.000752,0.000000,0.001295,0.000000,9.78e-05,1128.5
84,0.123694,0.122976,0.000705,0.000000,0.001295,0.000000,9.51e-05,1347.6
85,0.123698,0.122985,0.000682,0.000000,0.001291,0.000000,9.14e-05,1137.8
86,0.123672,0.122953,0.000717,0.000000,0.001294,0.000000,8.68e-05,1134.2
87,0.123659,0.122944,0.000680,0.000000,0.001293,0.000000,8.15e-05,1093.6
88,0.123648,0.122941,0.000611,0.000000,0.001292,0.000000,7.54e-05,1082.3
89,0.123632,0.122927,0.000615,0.000000,0.001288,0.000000,6.89e-05,1101.6
90,0.123620,0.122918,0.000550,0.000000,0.001293,0.000000,6.20e-05,1138.5
91,0.123584,0.122895,0.000451,0.000000,0.001287,0.000000,5.50e-05,1083.0
92,0.123574,0.122880,0.000470,0.000000,0.001293,0.000000,4.80e-05,1090.9
93,0.123558,0.122880,0.000363,0.000000,0.001283,0.000000,4.11e-05,1064.2
94,0.123530,0.122853,0.000330,0.000000,0.001287,0.000000,3.46e-05,1062.5
95,0.123504,0.122831,0.000293,0.000000,0.001288,0.000000,2.85e-05,1064.0
96,0.123487,0.122820,0.000254,0.000000,0.001284,0.000000,2.32e-05,1064.2
97,0.123490,0.122824,0.000225,0.000000,0.001288,0.000000,1.86e-05,1066.4
98,0.123474,0.122814,0.000170,0.000000,0.001286,0.000000,1.49e-05,1070.2
99,0.123455,0.122799,0.000139,0.000000,0.001285,0.000000,1.22e-05,1067.2
100,0.123450,0.122795,0.000130,0.000000,0.001284,0.000000,1.06e-05,1067.3
