epoch,total,render,bcs,crs,temp,clip,lr,time_s
101,0.168683,0.167986,0.000580,0.000000,0.001279,0.000000,5.00e-05,1274.4
102,0.168657,0.167973,0.000483,0.000000,0.001270,0.000000,4.99e-05,1197.0
103,0.168670,0.167990,0.000450,0.000000,0.001270,0.000000,4.96e-05,1227.5
104,0.168653,0.167975,0.000464,0.000000,0.001263,0.000000,4.90e-05,1206.1
105,0.168669,0.167983,0.000524,0.000000,0.001266,0.000000,4.83e-05,1341.5
106,0.168655,0.167975,0.000457,0.000000,0.001268,0.000000,4.73e-05,1364.4
107,0.168661,0.167988,0.000428,0.000000,0.001261,0.000000,4.62e-05,1206.3
108,0.168640,0.167965,0.000448,0.000000,0.001260,0.000000,4.49e-05,1383.4
109,0.168653,0.167979,0.000443,0.000000,0.001260,0.000000,4.34e-05,1270.3
110,0.168648,0.167972,0.000456,0.000000,0.001261,0.000000,4.18e-05,1180.1
111,0.168600,0.167929,0.000417,0.000000,0.001259,0.000000,4.00e-05,1444.0
112,0.168622,0.167954,0.000382,0.000000,0.001260,0.000000,3.81e-05,1226.9
113,0.168598,0.167933,0.000375,0.000000,0.001256,0.000000,3.62e-05,1164.5
114,0.168604,0.167942,0.000340,0.000000,0.001256,0.000000,3.42e-05,1258.9
115,0.168599,0.167935,0.000348,0.000000,0.001257,0.000000,3.21e-05,1201.3
116,0.168607,0.167946,0.000314,0.000000,0.001259,0.000000,3.00e-05,1291.1
117,0.168604,0.167943,0.000332,0.000000,0.001254,0.000000,2.79e-05,1100.2
118,0.168587,0.167927,0.000318,0.000000,0.001257,0.000000,2.58e-05,1081.8
119,0.168572,0.167918,0.000273,0.000000,0.001253,0.000000,2.38e-05,1073.0
120,0.168561,0.167907,0.000273,0.000000,0.001255,0.000000,2.19e-05,1093.6
121,0.168578,0.167925,0.000233,0.000000,0.001259,0.000000,2.00e-05,1089.9
122,0.168562,0.167913,0.000219,0.000000,0.001255,0.000000,1.82e-05,1096.1
123,0.168555,0.167908,0.000195,0.000000,0.001255,0.000000,1.66e-05,1099.2
124,0.168540,0.167894,0.000188,0.000000,0.001255,0.000000,1.51e-05,1114.6
125,0.168540,0.167896,0.000179,0.000000,0.001252,0.000000,1.38e-05,1102.5
126,0.168534,0.167893,0.000166,0.000000,0.001249,0.000000,1.27e-05,1103.8
127,0.168536,0.167892,0.000180,0.000000,0.001253,0.000000,1.17e-05,1102.3
128,0.168538,0.167896,0.000164,0.000000,0.001252,0.000000,1.10e-05,1102.9
129,0.168529,0.167889,0.000159,0.000000,0.001249,0.000000,1.04e-05,1101.9
130,0.168527,0.167888,0.000149,0.000000,0.001249,0.000000,1.01e-05,1178.2
